ID,min_lon,min_lat,max_lon,max_lat
32,9.692000000000002,54.756,9.948000000000002,55.012
33,9.948000000000002,54.756,10.204000000000002,55.012
34,10.204000000000002,54.756,10.460000000000004,55.012
35,10.460000000000004,54.756,10.716000000000005,55.012
36,10.716000000000005,54.756,10.972000000000005,55.012
61,9.692000000000002,55.012,9.948000000000002,55.268
62,9.948000000000002,55.012,10.204000000000002,55.268
63,10.204000000000002,55.012,10.460000000000004,55.268
64,10.460000000000004,55.012,10.716000000000005,55.268
65,10.716000000000005,55.012,10.972000000000005,55.268
90,9.692000000000002,55.268,9.948000000000002,55.524
91,9.948000000000002,55.268,10.204000000000002,55.524
92,10.204000000000002,55.268,10.460000000000004,55.524
93,10.460000000000004,55.268,10.716000000000005,55.524
94,10.716000000000005,55.268,10.972000000000005,55.524
116,9.692000000000002,55.524,9.948000000000002,55.78
117,9.948000000000002,55.524,10.204000000000002,55.78
118,10.204000000000002,55.524,10.460000000000004,55.78
119,10.460000000000004,55.524,10.716000000000005,55.78
120,10.716000000000005,55.524,10.972000000000005,55.78
